Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       28/06/24
Time:       16:25
Revision:   Not in VersionControl
Variant:    VariantA
Units used: mm

Designator Comment                      Layer       Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                                                                                 
R18        Resistor                     TopLayer    R0402                               1.5000       25.7500      0        "Resistor, 0R, 0402, +/-5%, 1/16W"                                                          
ANT1       BLE_ANT                      TopLayer    ANTENNA_F                           37.5640      22.8085      270      ""                                                                                          
R24        Resistor                     TopLayer    R0402                               4.3409       5.9829       0        "Resistor, 0R47, 0402, +/-1%, 1/16W"                                                        
R20        Resistor                     TopLayer    R0402                               2.7500       5.1000       180      "Resistor, 0R, 0402, +/-5%, 1/16W"                                                          
D5         "Amber, 2V, 120°"            BottomLayer WL-SMTW_3528                        42.0500      14.7000      270      "WL-SMTW Mono-color TOP LED Waterclear, size 3528, Amber, 2V, 120°"                         
R7         Resistor                     TopLayer    R0402                               6.9940       13.7250      90       "Res Thick Film 0402 3 Ohm 1% 1/16W ±200ppm/°C Molded SMD Paper T/R"                        
C39        Capacitor                    TopLayer    C0402                               13.3350      27.5590      90       "Capacitor, MLCC, 10nF, 16V, X7R, +/-10%, 0402, T=0.5mm"                                    
R19        Resistor                     TopLayer    R0603                               15.6000      18.4500      90       "Resistor, 0R, 0603, +/- 0.5mR, 1/4W"                                                       
L6         Inductor                     TopLayer    3n3_inductor_SMD_0201               33.5204      21.5413      0        "0201 0 ohm"                                                                                
C7         "20 pF"                      TopLayer    SMD_0201_DEV                        30.5956      24.2911      0        "Cap Ceramic 20pF 25V C0G 2% Pad SMD 0201 125C T/R"                                         
CN3        U.FL-R-SMT-1                 TopLayer    CON_HRS_U.FL-R-SMT-1                31.7500      27.8250      0        "Connector_RF, 0Hz to 6GHz, 50R, VR, SMD, T= 1.25mm"                                        
J2         5034800540                   TopLayer    CON_5034800540_MOL                  1.9530       29.3370      270      "No Description Available"                                                                  
R13        Resistor                     TopLayer    R0402                               17.9289      2.0320       180      "Resistor, 100K, 0402, +/-1%, 1/16W"                                                        
SW2        434351045816                 TopLayer    434351045816                        13.4620      1.6510       0        "WS-TASU SMT Tact Switch 4.7x3.5mm side push, SPST-NO, 12VDC, 50mA, 160g"                   
